region_key,driver,unit,value,low,high,source_url,last_verified,basis,notes,status
us-ia-des-moines,water_rate_usd_per_kgal,USD per 1000 gal,3.7,,,https://www.dmww.com/customer_service/rates___service_areas/des_moines.php,2026-01,sourced,"Des Moines Water Works, Commercial/Industrial rate table, effective January 1, 2026. Declining block: Step 1 (0-150,000 gal/mo) $7.15, Step 2 (150,001-450,000) $4.80, Step 3 (over 450,000 gal/mo) $3.70 per 1,000 gal inside the City of Des Moines. Took Step 3, the bottom marginal block, because a data center is far above 450,000 gal/month; the headline Step 1 figure is about double the true marginal rate. Already per 1,000 gallons, no conversion. Outside-city commercial/industrial is $8.85 / $6.65 / $4.75 by the same steps. Do not confuse with the residential schedule, which is increasing block, or with irrigation at $10.70 per 1,000 gal inside city. A capital improvement fee applies to some accounts on top. Sanitary sewer is a City of Des Moines charge, not a DMWW charge, and is not included here.",filled
us-nv-reno,water_rate_usd_per_kgal,USD per 1000 gal,,,,https://tmwa.com/tmwa-customer-service/water-rates/,,,"GAP - could not read a TMWA volumetric rate off any page. The TMWA water rates landing page lists the schedule names only ('Residential Metered Service', 'General Metered Water Service (GMWS)', 'Interruptible Service (IWS)', 'Interruptible Large Volume Nonpotable Service Rates and Charges (ILVNPS)') and shows no numbers; the rate figures sit behind click-through PDFs whose destination URLs are not exposed in the fetched page markup, so the GMWS schedule could not be opened and I will not guess a PDF path. What I tried: fetched tmwa.com/tmwa-customer-service/water-rates/ four times (asking for links, then for any dollar figures, then for the accordion contents) and tmwa.com/tmwa-customer-service/; searched for 'TMWA GMWS rate schedule pdf', 'General Metered Water Service Truckee Meadows commodity charge', site:tmwa.com rate schedule pdf, and tmwa.com/wp-content/uploads rate schedule - these returned only superseded schedule books from 2012, 2014 and 2015 (tmwa.com/docs/Customer_Services/rates/20140201_TMWA_Rate_Schedule-final.pdf and the wp-content mirror), both of which are robots-disallowed and in any case out of date; opened tmwa.com/docs/tmwa-metered-bill-explainer.pdf (explains tier 1/2/3 structure but prints no dollar amounts), tmwa.com/wp-content/uploads/2021/11/topics_rates_20211115.pdf (structure only, no figures), tmwa.com/financial-information/ (no ACFR link URLs exposed) and the 12/11/2025 TMWA board minutes (references a cost-of-service and rate design study, no rate table). web.archive.org is blocked by the egress proxy (403) and direct curl to tmwa.com is blocked, so I could not resolve the PDF links another way. Structural notes that stand regardless: TMWA bills NO sewer - sanitary sewer in this market is the City of Reno or Washoe County - and TMWA adds non-commodity line items (monthly service charge by meter size, and Water System Facility charges) that are easy to miss on top of any commodity rate. The Interruptible and Interruptible Large Volume Nonpotable schedules exist and are the ones worth pricing for cooling load, since nonpotable interruptible supply is normally cheaper than GMWS.",gap
ie-dublin,water_rate_usd_per_kgal,USD per 1000 gal,6.04,6.04,6.6,https://www.water.ie/business/billing/charges,2025-10,sourced,"Uisce Eireann (national non-domestic tariff, applies to Dublin). Opened the Business > Billing > Charges page and read the volumetric table effective 1/10/2025-30/09/2026. Declining band structure, so per the rule I took the bottom block: Band 5 (>=2,300,000 m3/yr) water = EUR 1.39/m3. Band 4 (250,000-2,299,999 m3/yr), the band most real Dublin data centres actually fall in, is EUR 1.52/m3 -> USD 6.60/kgal, recorded as high. Band 3 (20,000-249,999) is EUR 1.71. Conversion: 1.39 / 0.87138 EUR-per-USD = USD 1.5952/m3; / 0.264172 = USD 6.04 per 1,000 US gal. FX: ECB reference rate USD/EUR 0.87138, pulled 2026-07-30 from api.frankfurter.dev (ECB daily reference rates). WASTEWATER: billed by Uisce Eireann on the same metered volume and is large - Band 4 wastewater EUR 2.40/m3 (USD 10.43/kgal), Band 3 EUR 2.45, Band 2 EUR 2.50. No wastewater rate is published for Band 5. So a Dublin site's all-in volumetric cost is roughly 2.5x the water figure alone. The page also already publishes the next year's rates (1/10/2026-30/09/2027: Band 5 water EUR 1.45, Band 4 EUR 1.47) - not used because they are not yet effective on 2026-07-31.",filled
nl-amsterdam,water_rate_usd_per_kgal,USD per 1000 gal,5.13,5.13,7.02,https://www.waternet.nl/zakelijk/drinkwater-voor-bedrijven/kosten-met-watermeter/,2026-01,sourced,"Waternet, business (zakelijk) drinking-water page 'Kosten met watermeter'. 2026 variabel tarief is EUR 1.18/m3 and is FLAT across all consumption bands - only the vastrecht (standing charge) steps up (0-1,000 m3 EUR 90.55/yr; 1,000-10,000 EUR 1,056; 10,000-100,000 EUR 8,561; >100,000 m3 EUR 69,368/yr). Value uses the volumetric rate only. Conversion: 1.18 / 0.87138 = USD 1.3542/m3; / 0.264172 = USD 5.13 per 1,000 US gal. FX: ECB reference rate USD/EUR 0.87138, pulled 2026-07-30 from api.frankfurter.dev. BELASTING OP LEIDINGWATER (national tap-water tax): EUR 0.437/m3 in 2026, but the page states that from 2026 the ceiling above which no BOL is due moved from 300 m3 to 50,000 m3/yr - so a data centre pays BOL on its first 50,000 m3 only and its MARGINAL rate above that is the bare EUR 1.18/m3. 'high' = 1.18 + 0.437 = EUR 1.617/m3 -> USD 7.02/kgal, i.e. the effective rate inside the first 50,000 m3. 9% BTW applies on top and is recoverable by a business, so it is excluded. WASTEWATER: not billed by Waternet as a simple per-m3 volumetric charge - Amsterdam levies rioolheffing (municipal sewerage levy, banded on metered water use) and Waternet levies zuiveringsheffing per vervuilingseenheid (pollution unit), not per m3; I did not find a per-m3 equivalent on this page so no number is claimed. The provincial grondwaterheffing (groundwater levy) applies only to self-abstraction, not to metered mains supply.",filled
de-frankfurt,water_rate_usd_per_kgal,USD per 1000 gal,10.47,10.47,11.21,https://www.mainova.de/resource/blob/64518/03ee3a40fae13841c85cf699e2e9a1d2/preisblatt-aqua-classic-ab-010726-data.pdf,2026-07,sourced,"Mainova AG is the retailer for Frankfurt am Main (Hessenwasser is the upstream bulk producer, not the biller). Opened the Preisblatt 'Mainova Aqua Classic' gueltig ab 01.07.2026, reached from https://www.mainova.de/de/tarife/mainova-aqua-classic. Wassermengenpreis (volumetric): EUR 2.41/m3 net, EUR 2.58/m3 gross incl. 7% MwSt. Jahresgrundpreis EUR 51.73 net / EUR 55.35 gross. The Preisblatt is a single tariff explicitly covering 'Privat- und Gewerbekunden' - Mainova publishes NO separate large-industrial block or declining tariff, so there is no top/bottom block to choose; very large sites would negotiate a Sondervertrag that is not published. Value uses the NET rate (a business recovers MwSt): 2.41 / 0.87138 = USD 2.7657/m3; / 0.264172 = USD 10.47 per 1,000 US gal. 'high' is the gross rate EUR 2.58 -> USD 11.21/kgal. FX: ECB reference rate USD/EUR 0.87138, pulled 2026-07-30 from api.frankfurter.dev. WASTEWATER: separate municipal charge from Stadtentwaesserung Frankfurt am Main, billed on the SAME metered volume - Schmutzwassergebuehr EUR 1.45/m3 (= USD 6.30 per 1,000 US gal), read at https://www.stadtentwaesserung-frankfurt.de/gebuehren-satzungen/abwassergebuehren (that page did not print an effective-from date, so the 1.45 figure is 'as published, accessed 2026-07-31'). Niederschlagswassergebuehr is EUR 0.50 per m2 of sealed area per year - area-based, not volumetric, so excluded from the per-gallon rate. All-in volumetric water+sewer is therefore about USD 16.77 per 1,000 gal.",filled
uk-slough,water_rate_usd_per_kgal,USD per 1000 gal,8.27,8.27,13.79,https://www.thameswater.co.uk/media-library/pw4dyf54/indicative-wholesale-charges-schedule-2026-27.pdf,2026-04,modeled,"THIS IS A WHOLESALE PRICE, NOT A RETAIL PRICE. England's non-household water market has been fully competitive since 2017, so the price a Slough data centre actually pays is a negotiated retail contract that is not published anywhere; I could not find any published retail tariff. Slough sits in Thames Water's supply area, so I used Thames Water's 'Indicative wholesale charges schedule 2026-27', effective 1 April 2026, which I opened and read. Non-household metered potable water volumetric bands: 0-20,000 m3 272.07 p/m3 (NHHMPW1-4); 20,000-50,000 m3 248.94 p/m3; 50,000-250,000 m3 204.05 p/m3; OVER 250,000 m3 163.24 p/m3 (NHHMPW7). Declining block, so value = bottom block 163.24 p/m3 = GBP 1.6324/m3. Conversion: 1.6324 / 0.74691 GBP-per-USD = USD 2.1855/m3; / 0.264172 = USD 8.27 per 1,000 US gal. 'high' = the smallest-user band 272.07 p/m3 -> USD 13.79/kgal. FX: ECB reference rate USD/GBP 0.74691, pulled 2026-07-30 from api.frankfurter.dev. Basis is 'modeled' because wholesale is being substituted for retail: a retailer adds a gross margin (typically low single-digit % of the wholesale charge) plus the retailer's own fixed fees, so true retail is somewhat above this. Large users also pay flat annual supplementary charges (intermediate GBP 4,626 / large GBP 27,071 / super-large GBP 129,096) that are not volumetric. WASTEWATER: billed on the same metered volume - non-household metered foul-drainage wholesale volumetric charge is 156.61 p/m3 for standard bands, falling to 125.28 p/m3 for users over 100,000 m3 (plus a GBP 29,756 annual supplementary charge). 125.28 p/m3 = USD 6.35 per 1,000 US gal, so sewer adds roughly 75% on top of the water rate for a large site.",filled
fr-paris,water_rate_usd_per_kgal,USD per 1000 gal,7.43,5.19,18.31,https://www.eaudeparis.fr/sites/default/files/2025-12/Catalogue%20des%20tarifs%202026.pdf,2026-01,modeled,"Eau de Paris 'Catalogue des tarifs 2026', opened directly; tariffs effective 1 January 2026. Eau de Paris publishes ONE volumetric tariff - there is no separate tarif non-domestique and no volume blocks, so a large industrial user pays the same per-m3 as everyone else (only the part fixe / abonnement varies with meter size). Value = the all-in WATER-side volumetric total, summing the components printed in the catalogue (all EUR/m3 TTC): fourniture d'eau potable 1.1942 + redevance soutien d'etiage 0.0074 + redevance prelevement sur la ressource en eau 0.0928 + redevance Voies Navigables de France 0.0169 + redevance performance reseaux d'eau potable 0.0406 + redevance consommation d'eau (Agence de l'eau Seine-Normandie) 0.3587 = EUR 1.7106/m3. Conversion: 1.7106 / 0.87138 = USD 1.9633/m3; / 0.264172 = USD 7.43 per 1,000 US gal. 'low' = the bare fourniture d'eau potable 1.1942 -> USD 5.19/kgal. 'high' = the complete bill including assainissement -> EUR 4.2142/m3 -> USD 18.31/kgal. FX: ECB reference rate USD/EUR 0.87138, pulled 2026-07-30 from api.frankfurter.dev. Basis 'modeled' because the value is a sum of six separately-printed line items, not a single figure read off the page. WASTEWATER: billed on exactly the same metered volume and it is the larger half of the bill - collecte des eaux usees (Ville de Paris / SAP) EUR 0.6699/m3, transport et epuration (SIAAP) EUR 1.6984/m3, redevance performance reseaux de collecte EUR 0.1353/m3, total EUR 2.5036/m3 = USD 10.88 per 1,000 US gal. Figures are TTC (5.5% VAT on water supply, 10% on assainissement); a business recovers VAT, so net-of-VAT costs are ~5% lower. Cross-check: Eau de Paris's own price page (https://www.eaudeparis.fr/prix-de-leau) quotes EUR 4.23 TTC/m3 all-in for 2026, consistent with the EUR 4.2142 sum above.",filled
se-lulea,water_rate_usd_per_kgal,USD per 1000 gal,8.38,8.38,10.48,https://www.lulea.se/download/18.6f508c4419b9e137f78da/1767887291720/VA%20taxa%20Lule%C3%A5%20kommun%202026.pdf,2026-01,sourced,"Lulea kommun 'VA-taxa 2026 - Taxa foer Lulea kommuns allmaenna vatten- och avloppsanlaeggning', opened directly; taxan traeder i kraft 2026-01-01. Brukningsavgift, rorlig avgift: VATTEN 21.25 SEK/m3 excl. moms (26.56 SEK/m3 incl. 25% moms). There is no declining or increasing block - the rorliga avgift is flat. The taxa does carry separate tariff codes for hyres- och industrifastighet (VA2,5HI / V2,5HI / A2,5HI), but those differ only in the fixed annual charge; the per-m3 rate is identical, so an industrial site pays the same volumetric rate. Value uses the ex-moms rate (a business recovers moms): 21.25 / 9.5938 SEK-per-USD = USD 2.2150/m3; / 0.264172 = USD 8.38 per 1,000 US gal. 'high' is the incl-moms rate 26.56 SEK/m3 -> USD 10.48/kgal. FX: ECB reference rate USD/SEK 9.5938, pulled 2026-07-30 from api.frankfurter.dev. WASTEWATER: billed on the same metered volume at exactly the same rate - avlopp/spillvatten 21.25 SEK/m3 ex moms (USD 8.38 per 1,000 US gal), so combined VA is 42.50 SEK/m3 ex moms = USD 16.77 per 1,000 US gal. A site of hyperscale size would in practice negotiate a separate industrial agreement outside this published taxa (as the northern Swedish DC market generally does), so treat the published taxa as an upper bound on the volumetric rate.",filled
no-oslo,water_rate_usd_per_kgal,USD per 1000 gal,17.11,17.11,19.67,https://www.oslo.kommune.no/vann-og-avlop/tilknytningsgebyr-arsgebyr-og-vannmaler/vann-og-avlopsgebyrer/,2026-01,sourced,"Oslo kommune, Vann- og avloepsetaten, page 'Vann- og avloepsgebyrer'. Read the table 'Priser for beregning av vann- og avloepsgebyrer fra 1. januar 2026'. VANN: 43.23 kr/m3 ekskl. mva (49.71 kr/m3 inkl. 15% mva). Oslo charges a single flat kr/m3 - there are no consumption blocks and no separate naerings/industri tariff, so a large flat-load customer pays the same volumetric rate as everyone else; only the fixed abonnementsgebyr scales. Value uses the ex-mva rate (a business recovers mva): 43.23 / 9.5641 NOK-per-USD = USD 4.5198/m3; / 0.264172 = USD 17.11 per 1,000 US gal. 'high' is the inkl-mva rate 49.71 kr/m3 -> USD 19.67/kgal. FX: ECB reference rate USD/NOK 9.5641, pulled 2026-07-30 from api.frankfurter.dev. WASTEWATER: billed on the same metered water volume - avloep 28.81 kr/m3 ekskl. mva (33.13 kr/m3 inkl. mva) = USD 11.40 per 1,000 US gal ex mva. Combined vann + avloep = 72.04 kr/m3 ex mva = USD 28.51 per 1,000 US gal, i.e. sewer adds about two-thirds on top of the water rate. Oslo is by a wide margin the most expensive potable water in this 13-market set.",filled
sg-singapore,water_rate_usd_per_kgal,USD per 1000 gal,9.53,6.32,10.38,https://www.pub.gov.sg/Resources/News-Room/PressReleases/2023/09/Water-price-to-rise-from-April-2024-Government-to-provide-support,2025-04,sourced,"PUB non-domestic potable water. The current PUB water-price page (https://www.pub.gov.sg/Public/WaterLoop/Water-Price) publishes its tables as images that cannot be read as text, so I used PUB's own press release with the annex price tables, which I opened and read. NON-DOMESTIC potable water, S$/m3, from 1 April 2025: Water Tariff 1.43 + Water Conservation Tax 0.72 + Waterborne Fee 1.09 = TOTAL 3.24 (all figures before GST; the total is printed in the table, not derived by me). Singapore's non-domestic tariff is flat - there are no consumption blocks. I found no evidence of a further revision taking effect in 2026, so the 1 April 2025 rates are current. Conversion: 3.24 / 1.2875 SGD-per-USD = USD 2.5165/m3; / 0.264172 = USD 9.53 per 1,000 US gal. 'low' = tariff + WCT only (S$2.15, i.e. excluding the waterborne/used-water element) -> USD 6.32/kgal. 'high' = S$3.24 grossed up for 9% GST (S$3.5316) -> USD 10.38/kgal. FX: ECB reference rate USD/SGD 1.2875, pulled 2026-07-30 from api.frankfurter.dev. WASTEWATER: the Waterborne Fee IS the used-water charge and is levied on the same metered volume - S$1.09/m3 = USD 3.21 per 1,000 US gal, already included in the 3.24 total above per the row instruction. NEWATER (reclaimed - what a Singapore data centre would actually buy for cooling): from 1 April 2025, Tariff 1.28 + WCT 0.13 + Waterborne 1.09 = TOTAL S$2.50/m3 before GST = USD 7.35 per 1,000 US gal, about 23% cheaper than potable. Same source table. PUB also lists an Industrial Water tariff but no figures for it appear in this press release.",filled
